sort_num|address|city|state|zip|borough_detail|address_remark|date_t|deliver_type|remark|iron_box|plastic_box|selling_box|paper_shelf|mon|tue|wed|thu|fri|sat|sun|latitude|longitude|created_at|
|4525 Kissena Blvd|Flushing|NY|11355|Queens|老年中心旁||Newspaper box|修補過的報箱||1|||25|25|25|25|50|50|0|40.7519175|-73.82001029999999|2014-08-17 21:49:49 -0400|
|4631 Kissena Blvd|Flushing|NY|11355|Queens|金城发超市出口旁||Newspaper box|油漆過的鐵報箱|1||||100|100|100|100|150|200|0|40.7503112|-73.81875409999999|2014-08-17 21:49:49 -0400|
|4732 Union St|Flushing|NY|11355|Queens|陈光星家||Hand delivery||||||0|0|0|0|0|0|0|40.749161|-73.815969|2014-08-17 21:49:50 -0400|
|14349 Ash Ave|Flushing|NY|11355|Queens|金枫客栈(新唐人銷售Joan Zeng要求送報（08 /12/14）||Family Hotel|2014年8月12日开始送报|||||6|6|6|6|6|6|0|40.75759499999999|-73.820151|2014-08-17 21:49:50 -0400|
|14326 41st Ave|Flushing|NY|11355|Queens|皇家成人日間護理中心(2014年9月2日到期）(TSE KIN HAN 電話：718-922-2987)|2014-09-02 00:00:00 -0400|Subscriber||||||1|1|1|1|1|1|0|40.759872|-73.82287099999999|2014-08-17 21:49:50 -0400|
|14241 Roosevelt Ave|Flushing|NY|11354|Queens|Roosevelt Ave &  Bowne  St，新中国城超市门口||Newspaper box|||1|||50|50|50|50|85|75|0|40.7607888|-73.82528520000001|2014-08-17 21:49:51 -0400|
|2503 Parsons Blvd|Flushing|NY|11354|Queens|好運來超市停車場的進出口||Newspaper box|||1|||15|15|15|15|15|15|0|40.7764837|-73.8236735|2014-08-17 21:49:51 -0400|
|2610 Union St|Flushing|NY|11354|Queens|26th Ave & Union St||Newspaper box|||1|||50|50|50|50|50|50|0|40.7739926|-73.82678609999999|2014-08-17 21:49:51 -0400|
|2950 Union St|Flushing|NY|11354|Queens|Union St & 31 St Rd 邮局门口||Newspaper box|||1|||50|50|50|50|50|50|0|40.770874|-73.827052|2014-08-17 21:49:52 -0400|
|13745 Northern Blvd|Flushing|NY|11354|Queens|大中華超市旁||Newspaper box||1||||50|50|50|50|75|75|0|40.764036|-73.829381|2014-08-17 21:49:52 -0400|
|13744 Northern Blvd|Flushing|NY|11354|Queens|TAIWAN CENTER (inside)臺灣會館||Building||||||15|15|15|15|15|15|0|40.76315|-73.829499|2014-08-17 21:49:52 -0400|
|13802 Northern Blvd|Flushing|NY|11354|Queens|Northern Blvd & Union St，Nara Bank门口||Newspaper box|||1|||50|50|50|50|50|35|0|40.7637635|-73.8280176|2014-08-17 21:49:53 -0400|
|14140 Northern Blvd|Flushing|NY|11354|Queens|between Bowne St & Parsons Blvd ，H-Mart超市出口||Newspaper box||1||||20|20|20|20|20|15|0|40.764151|-73.824184|2014-08-17 21:49:53 -0400|
|14450 Northern Blvd|Flushing|NY|11354|Queens|Parsons Blvd & 146th St大中华超市门口||Newspaper box||1||||90|90|90|90|110|100|0|40.76456|-73.82157099999999|2014-08-17 21:49:53 -0400|
|14998 Barton Ave|Flushing|NY|11354|Queens|Barton Ave Between 150th st & 149th PLLong Island Rail Road--Murray Hill||Newspaper box|||1|||18|18|18|18|18|15|0|40.7630506|-73.8141681|2014-08-17 21:49:53 -0400|
|15501 Sanford Ave|Flushing|NY|11355|Queens|订报||Subscriber||||||1|1|1|1|1|1|0|40.76161|-73.810311|2014-08-17 21:49:54 -0400|
|15640 Northern Blvd|Flushing|NY|11354|Queens|Hmart 超市出口報架||Supermarket||||||0|0|0|0|0|0|0|40.7638028|-73.8083289|2014-08-17 21:49:54 -0400|
|16006 Northern Blvd|Flushing|NY|11358|Queens|金山超市旁，Northern Blvd & 160th St||Newspaper box|||1|||30|30|30|30|40|25|0|40.762337|-73.80516999999999|2014-08-17 21:49:54 -0400|
|4001 164th St|Flushing|NY|11358|Queens|164th St & Station Rd在Station Rd上，Long Island Rail Road--Broadway||Newspaper box||1|1|||8|8|8|8|8|6|0|40.761313|-73.801683|2014-08-17 21:49:55 -0400|
|16129 Crocheron Ave|Flushing|NY|11359|Queens|食客||Restaurant||||||0|0|10|0|0|6|0|40.7626513|-73.80382639999999|2014-08-17 21:49:55 -0400|
|17174 46th Ave|Flushing|NY|11358|Queens|雅歌音樂藝術學院 (inside)||College||||||5|0|5|0|5|5|0|40.753157|-73.79367599999999|2014-08-17 21:49:55 -0400|
|19220 Northern Blvd|Flushing|NY|11358|Queens|Gugongtan Restarrant （客戶商家）李香淑客戶||Restaurant||||||0|0|0|0|0|5|0|40.7578326|-73.78898000000001|2014-08-17 21:49:56 -0400|
|19636 Northern blvd|Flushing|NY|11358|Queens|Queens library (inside)||Library|08年上架時買的黃色賣報架||||1|3|3|3|3|3|0|0|40.7577602|-73.78424729999999|2014-08-17 21:49:58 -0400|
|4640 Francis Lewis Blvd|Bayside|NY|11361|Queens|H Mart超市门前，Francis Lewis Blvd & 47th Ave||Newspaper box|||1|||25|25|25|25|25|35|0|40.7540321|-73.7811833|2014-08-17 21:49:58 -0400|
|47-33 Bell Blvd|Bayside|NY|11361|Queens|FoodTown超市进门报架||Supermarket|2014/07/19开始送报|||||0|0|0|0|5|10|0|40.7562655|-73.767381|2014-08-17 21:49:59 -0400|
|47-46 Bell Blvd|Bayside|NY|11361|Queens|Bell Blvd & 48th Ave||Newspaper box|||1|||35|35|35|35|40|30|0|40.75631449999999|-73.7674406|2014-08-17 21:49:59 -0400|
|6142 Springfield Blvd|Oakland Gardens|NY|11364|Queens|西贡饭店门前||Newspaper box|||1|||35|35|35|35|35|30|0|40.7481239|-73.75634629999999|2014-08-17 21:49:59 -0400|
